Marker_name	Chromosome	Marker_position
A1	chrX	99889327
A2	chrX	99847340
A3	chr20	49563248
A4	chr1	169841090
A5	chr1	169727233
A6	chr1	27950181
A7	chr1	196668821
A8	chr6	143824387
A9	chr6	53421953
A10	chr6	41054199
A11	chr1	24713456
A12	chr1	24770875
A13	chrX	64743558
A14	chr6	46106083
A15	chr3	50209493
A16	chr7	117230931
A17	chr7	91953123
A18	chr7	91756865
A19	chr7	91851881
A20	chr12	1060231
A21	chr7	98872585
A22	chr11	64044739
A23	chr4	17594205
A24	chrX	2634285
A25	chr4	11413081
A26	chr7	150540153
A27	chr7	120973289
A28	chr7	43378899
A29	chr7	2064153
A30	chr17	37052067
A31	chr17	46190577
A32	chr7	150499849
A33	chr12	9097755
A34	chrX	117141539
A35	chr2	72365767
A36	chr7	8227565
A37	chr16	90078904
A38	chr2	202605594
A39	chr2	202070866
A40	chr2	202011118
A41	chr2	188379722
A42	chr2	37469660
A43	chr3	50141397
A44	chr8	17213288
A45	chr8	17391339
A46	chr7	127230079
A47	chr17	26709721
A48	chr17	26679102
A49	chr3	129299839
A50	chr1	33510091
A51	chr4	15817375
A52	chr12	2909347
A53	chr1	23378061
A54	chr3	50057459
A55	chr17	3780897
A56	chr12	21638224
A57	chr7	92924995
A58	chr19	36247224
A59	chr19	36272579
A60	chr16	23600000
A61	chr7	95219307
A62	chr6	110771867
A63	chr3	50381412
A64	chr7	20735744
A65	chrX	25027938
A66	chr7	95850495
A67	chr7	116731724
A68	chr17	45230928
A69	chr17	42335631
A70	chr7	93128920
A71	chrX	11135309
A72	chr17	7133262
A73	chr16	2905449
A74	chr19	18960896
A75	chr7	26870769
A76	chrX	118603822
A77	chr4	110545617
A78	chr7	27222985
A79	chr7	102116459
A80	chr17	5358306
A81	chr17	41728539
A82	chr7	11640904
A83	chr17	33319798
A84	chr12	48078457
A85	chr16	20715234
A86	chr16	57471760
A87	chr19	2341856
A88	chr9	35110223
A89	chr17	46109462
A90	chr7	106743675
A91	chrX	11785074
A92	chr16	3852891
A93	chr17	56392372
A94	chr17	56352756
A95	chr7	94976330
A96	chr2	75908620
A97	chr2	74650843
A98	chr7	87002054
A99	chr7	87070382
A100	chr7	104704717
A101	chr7	75495082
A102	chr16	1034393
A103	chr6	82918585
A104	chr11	3380469
A105	chr13	77759988
A106	chr13	77584035
A107	chr16	30509242
A108	chr17	48180808
A109	chr17	48150588
A110	chrX	24200831
A111	chrX	119582451
A112	chr17	34923507
A113	chr17	42458210
A114	chr7	95138650
A115	chr16	19523241
A116	chr19	18701320
A117	chr19	18700790
A118	chr17	45891969
A119	chr17	31263526
A120	chr17	7194752
A121	chr17	39504704
A122	chr17	43367451
A123	chr11	17456440
A124	chr17	34395516
A125	chr17	34416558
A126	chr17	35922222
A127	chr16	24320498
A128	chr11	60698283
A129	chr17	33979250
A130	chr7	97365502
A131	chr16	3332572
A132	chr16	57412665
A133	chr17	48626816
A134	chr17	48671632
A135	chr16	3070415
A136	chr7	96637605
A137	chr14	71232747
A138	chr7	39705402
A139	chr7	97975671
A140	chr7	139830690
A141	chr7	13980951
A142	chr7	141303016
A143	chr11	67786396
A144	chr1	55256162
A145	chr7	77507470
A146	chr7	75409032
A147	chr2	242364957
A148	chr11	17540702
A149	chr7	30563666
A150	chr7	87522193
A151	chr19	3600671
A152	chr7	112092047
A153	chr19	40197515
A154	chr17	14042403
A155	chr7	73942525
A156	chr19	39879163
A157	chr7	38867278
A158	chr17	12793908
A159	chr17	12908606
A160	chr7	12651715
A161	chrX	2834701
A162	chrX	7881034
A163	chr17	10238924
A164	chr12	1847792
A165	chr5	133624021
A166	chr2	158862940
A167	chr16	2871734
A168	chr19	45695543
A169	chr4	16025350
A170	chr19	18049312
A171	chr19	42074541
A172	chr17	2542706
A173	chr17	26105658
A174	chr17	11687406
A175	chr17	26956965
A176	chr17	26812555
A177	chr17	9957897
A178	chr19	45673840
A179	chr19	3790049
A180	chr19	42194065
A181	chr17	62007907
A182	chr17	62033096
A183	chr1	113114793
A184	chrX	153541362
A185	chr11	31822924
A186	chr16	836685
A187	chr16	117206
A188	chr16	259215
A189	chr3	50470954
A190	chr16	1391520
A191	chr16	1400576
A192	chr16	625565
A193	chr16	1695117
