ID	chrom	loc.start	loc.end	num.mark	seg.mean
X38	chr1	13140	47882733	800	-0.1048
X38	chr1	47899059	48555173	5	0.3501
X38	chr1	48604932	178061881	1214	-0.1189
X38	chr1	178255754	201465621	141	0.3715
X38	chr1	201493716	202123428	15	-0.0077
X38	chr1	202147881	210413060	116	0.3871
X38	chr1	210439784	249207270	356	-0.0928
X38	chr10	106465	4264718	22	1.1538
X38	chr10	4439621	4706361	3	1.7296
X38	chr10	4859537	6232188	26	1.0836
X38	chr10	6335855	13374860	45	0.3895
X38	chr10	13525729	135455994	1042	-0.1086
X38	chr10	135472439	135481287	2	0.39
X38	chr10	135486123	135515797	6	0.6412
X38	chr11	87117	4566897	143	0.0133
X38	chr11	4595851	63488140	756	-0.0758
X38	chr11	63531738	95612262	442	-0.018
X38	chr11	95893053	122850353	229	0.226
X38	chr11	122921989	122928827	2	-0.3777
X38	chr11	122929660	134265105	136	0.2522
X38	chr12	92834	7757378	118	-0.08
X38	chr12	7810247	13532062	123	-0.7681
X38	chr12	13913109	18600948	29	-0.1273
X38	chr12	18846363	27886467	56	-0.8261
X38	chr12	27919940	48162117	74	-0.1416
X38	chr12	48201710	53507812	142	0.3647
X38	chr12	53525451	53821478	13	1.0245
X38	chr12	53837909	57874317	143	0.3751
X38	chr12	57890290	58000996	8	0.9795
X38	chr12	58008562	58343188	17	3.7799
X38	chr12	58638404	63541868	19	2.4641
X38	chr12	64007706	65777223	19	0.9616
X38	chr12	65813159	66716874	10	-0.8426
X38	chr12	66957389	68050652	6	1.2441
X38	chr12	68430090	69108649	10	2.9795
X38	chr12	69163697	69769029	7	3.5537
X38	chr12	69918845	71677271	12	1.2882
X38	chr12	71906820	75518752	13	0.6085
X38	chr12	75727233	81552203	28	-0.7115
X38	chr12	81902688	83304654	4	3.424
X38	chr12	83545539	86802598	8	-0.8637
X38	chr12	88177142	88930599	7	-0.0518
X38	chr12	89744028	100614271	78	-0.7307
X38	chr12	100629152	102127838	13	-0.2066
X38	chr12	102181995	133803789	324	-0.0018
X38	chr13	19050450	115097228	720	-0.0989
X38	chr14	19401796	48249226	402	-0.0726
X38	chr14	50044311	50189846	10	-0.802
X38	chr14	50242117	51368031	19	0.0621
X38	chr14	51502379	86045761	293	-0.823
X38	chr14	88382086	107283036	430	-0.0646
X38	chr15	20170136	73082858	626	-0.1047
X38	chr15	73192170	73454694	3	-0.8136
X38	chr15	73470799	102518028	323	-0.0799
X38	chr16	62823	90206715	1015	-0.0796
X38	chr17	18618	20361780	411	-0.111
X38	chr17	20394696	20397207	2	0.669
X38	chr17	20410248	41376149	428	-0.0946
X38	chr17	41456890	48197325	157	0.3658
X38	chr17	48219547	81045215	452	0.503
X38	chr18	84355	50462163	272	-0.0963
X38	chr18	51715118	51748718	2	1.4824
X38	chr18	51821705	61352970	64	-0.1032
X38	chr18	61446386	77960272	60	-0.7851
X38	chr19	65865	40482130	925	-0.0728
X38	chr19	40506777	47869249	250	-0.2836
X38	chr19	47914580	59098019	518	-0.1257
X38	chr2	42842	215899708	1470	-0.0994
X38	chr2	216195513	243062105	279	-0.7721
X38	chr20	72813	62933111	732	-0.0865
X38	chr21	9825921	48110916	387	-0.097
X38	chr22	16112745	51217556	691	-0.0703
X38	chr3	344684	179314257	1370	-0.0982
X38	chr3	179333956	197951774	209	0.061
X38	chr4	70639	87463670	547	-0.1092
X38	chr4	87625896	129763579	235	0.0714
X38	chr4	129900420	190981608	265	0.5135
X38	chr4	190989601	191012789	8	0.9712
X38	chr5	165229	180794766	1127	-0.1122
X38	chr6	106387	656451	7	-0.4783
X38	chr6	1313833	1934983	4	0.4031
X38	chr6	2341817	3737554	21	-0.7417
X38	chr6	3850585	4125877	6	0.6404
X38	chr6	4703355	5973445	9	1.544
X38	chr6	6002716	6621778	7	0.742
X38	chr6	7180021	8424547	15	0.3387
X38	chr6	9904092	10561028	7	0.7195
X38	chr6	10640747	12319754	18	-0.0922
X38	chr6	12514674	17531506	26	-0.7717
X38	chr6	17582400	18572063	10	-0.1218
X38	chr6	19613626	29820204	199	-0.8297
X38	chr6	29855558	29901970	7	-2.1057
X38	chr6	29910348	31668837	113	-0.8077
X38	chr6	31680110	31838896	22	1.0972
X38	chr6	31851684	31944733	10	1.4751
X38	chr6	31960129	32007744	8	1.6382
X38	chr6	32046021	32552085	21	1.2525
X38	chr6	32605397	38372075	128	0.4011
X38	chr6	38657309	41183337	26	1.4449
X38	chr6	41201341	44386712	77	1.266
X38	chr6	44403418	46173794	8	0.8055
X38	chr6	46324092	48181935	18	1.8152
X38	chr6	49414488	58446663	77	0.3404
